x,y,z,decimal
0.0609380598501291,-0.0814305692678369,0.014594568283682,0
-0.437889248274475,0.689328834345203,-0.0434095834566435,1
0.448506448712933,0.38924035595497,0.203249470306996,2
-0.0450501237053154,0.723515790524509,0.0918265066652141,3
0.245011830028259,-0.217303743158342,0.536614850962201,4
-0.178649270901435,0.381472401463819,0.295249219102383,5
0.357773613049762,0.112158633074064,0.390830577140727,6
0.0767772324070364,0.41743902219276,0.290884398104275,7
-0.297535393822874,-0.544492388526575,-0.163630615363545,8
-0.453012852516624,0.212765300042449,-0.113982148465433,9
0.52818944541258,-0.178450184254745,0.178016252710353,10
-0.164421347829753,0.395370201802112,0.00752801552904882,11
0.00924480498020821,-0.457229550078057,0.24283887308824,12
-0.351632094933008,0.0969021191165012,0.219257571681984,13
0.239274627490481,-0.145489036672066,0.317919373700252,14
-0.0308747582040768,0.251438628941415,0.25897070612204,15
-0.519793584563639,-0.280262132738266,-0.0782458064234409,16
-0.678524981100968,0.271357891351323,-0.0852119314545012,17
-0.469717510358765,0.0296522592355291,0.2880465921838,18
-0.31704738063546,0.362288039734456,0.0243535296972768,19
-0.271844053403986,-0.348774567254701,0.272160710999294,20
-0.411480283624103,0.104703315978644,0.167219031962668,21
-0.00192312687393577,-0.0976320223901019,0.405730232784342,22
-0.187074928721995,0.228783535490575,0.218449622741731,23
-0.510700567029634,-0.472675273265475,-0.133633395149367,24
-0.581936448178271,-0.0183168301249432,-0.116887703472505,25
-0.322580182319272,-0.272605872901839,-0.02517269454622,26
-0.348099036539171,0.142640499399111,-0.0295856189807043,27
-0.277156838604575,-0.423487489571709,0.120244209795896,28
-0.391741137083588,-0.074102028345125,0.0775536274889125,29
-0.106022344768665,-0.265147875171741,0.215190251400434,30
-0.248973343253904,0.0524720012959429,0.155106193119516,31
0.15361436190994,-0.0916537629301379,-0.59250378073911,32
-0.191729392913681,0.382866236663345,-0.365728344538494,33
0.393281515747343,0.197255395149878,-0.266400119651216,34
0.0436494981169664,0.466055348463865,-0.197906534587578,35
0.386943194585054,-0.326095068715521,-0.0850137752978026,36
-0.0955745296011887,0.391187844227492,-0.12290378584397,37
0.427114128951388,0.0444039444432854,0.0519978518356126,38
